target        , status , scenario     , train_samples, test_samples, mae                  , rmse                 , r2                    , median, max   , reason
Lycopodium    , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Lygustrum     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=6<50
Magnolia      , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Matricaria    , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=8<50
Matricharia   , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=3<50
Medicago      , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=7<50
Meercurialis  , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Melandrium    , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=5<50
Melilotis     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=20<50
Melilotus     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=7<50
Mentha        , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Mercurialis   , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Mercuriallia  , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=0<50
Morus         , ok     , lstm_forecast,        3088.0,       1324.0,  0.9169536895326865  ,  1.9940847644274817  , 0.00593143936190399   ,    0.0,  254.0, 
Narcissus     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Narcussus     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Nicotiana     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=0<50
Papaver       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=7<50
Petunia       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Phacelia      , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Picea         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Pinus         , ok     , lstm_forecast,        3088.0,       1324.0,  1.1356790955276919  ,  5.328404221124173   , 0.02818664289279127   ,    0.0,  144.0, 
Pinus/Abies   , ok     , lstm_forecast,        3088.0,       1324.0,  0.29313505453893246 ,  0.3464955571283556  , 0.0                   ,    0.0,   32.0, 
Poa           , ok     , lstm_forecast,        3088.0,       1324.0,  2.386102635687037   ,  5.255426137483056   , -0.16047492299613242  ,    0.0,   52.0, 
Poaceae       , ok     , lstm_forecast,        3088.0,       1324.0,  3.9812927119667063  ,  6.858753015538359   , -0.28323884872872385  ,    0.0,  231.0, 
Potentilla    , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=5<50
Primula       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=18<50
Prunus        , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=11<50
Ranunculuis   , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=7<50
Ranunculus    , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=6<50
Reseda        , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=3<50
Rhus glabra   , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Ricinus       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=0<50
Robinia       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=7<50
Senecio       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=28<50
Sinapis       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=5<50
Siringa       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=5<50
Solidago      , ok     , lstm_forecast,        3088.0,       1324.0,  0.0811793436109879  ,  0.18825172132561185 , -0.1802418329905371   ,    0.0,    5.0, 
Spirea        , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=10<50
Syringa       , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=6<50
Tagetes patula, skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Taraxacum     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=28<50
Thuja         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Trifolium     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=26<50
Trifolium r.  , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=5<50
Tsuga         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=0<50
Tulipa        , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Tusilago      , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Typha         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=9<50
Verbascum     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=19<50
Viola         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=2<50
Vitis         , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=1<50
Xanthium      , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=6<50
ligustrum     , skipped,              ,              ,             ,                      ,                      ,                       ,       ,       , nonzero_train_samples=9<50
