target,status,scenario,train_samples,test_samples,mae,rmse,r2,median,max,reason
Sinapis,skipped,,,,,,,,,nonzero_train_samples=5<50
Siringa,skipped,,,,,,,,,nonzero_train_samples=5<50
Solidago,ok,oracle_forecast,3088.0,1324.0,0.07992131069085907,0.18489085015301368,-0.138476133661523,0.0,5.0,
Spirea,skipped,,,,,,,,,nonzero_train_samples=10<50
Syringa,skipped,,,,,,,,,nonzero_train_samples=6<50
Tagetes patula,skipped,,,,,,,,,nonzero_train_samples=1<50
Taraxacum,skipped,,,,,,,,,nonzero_train_samples=28<50
Thuja,skipped,,,,,,,,,nonzero_train_samples=2<50
Trifolium,skipped,,,,,,,,,nonzero_train_samples=26<50
Trifolium r.,skipped,,,,,,,,,nonzero_train_samples=5<50
Tsuga,skipped,,,,,,,,,nonzero_train_samples=0<50
Tulipa,skipped,,,,,,,,,nonzero_train_samples=1<50
Tusilago,skipped,,,,,,,,,nonzero_train_samples=1<50
Typha,skipped,,,,,,,,,nonzero_train_samples=9<50
Verbascum,skipped,,,,,,,,,nonzero_train_samples=19<50
Viola,skipped,,,,,,,,,nonzero_train_samples=2<50
Vitis,skipped,,,,,,,,,nonzero_train_samples=1<50
Xanthium,skipped,,,,,,,,,nonzero_train_samples=6<50
ligustrum,skipped,,,,,,,,,nonzero_train_samples=9<50
